% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 13:00:38 +0900
% Frequency (Hz), Input 1 (dBm)
1.001120643923e+07, -9.620335e+01
1.001144485781e+07, -9.550362e+01
1.001168327639e+07, -9.432647e+01
1.001192169497e+07, -9.337731e+01
1.001216011355e+07, -9.297043e+01
1.001239853213e+07, -9.322548e+01
1.001263695071e+07, -9.331230e+01
1.001287536928e+07, -9.344409e+01
1.001311378786e+07, -9.364549e+01
1.001335220644e+07, -9.385167e+01
1.001359062502e+07, -9.406286e+01
1.001382904360e+07, -9.432809e+01
1.001406746218e+07, -9.445148e+01
1.001430588076e+07, -9.447651e+01
1.001454429934e+07, -9.472920e+01
1.001478271792e+07, -9.440252e+01
1.001502113650e+07, -9.408769e+01
1.001525955508e+07, -9.378389e+01
1.001549797365e+07, -9.335810e+01
1.001573639223e+07, -9.344623e+01
1.001597481081e+07, -9.373859e+01
1.001621322939e+07, -9.383068e+01
1.001645164797e+07, -9.390044e+01
1.001669006655e+07, -9.335898e+01
1.001692848513e+07, -9.262529e+01
1.001716690371e+07, -9.198608e+01
1.001740532229e+07, -9.191186e+01
1.001764374087e+07, -9.236829e+01
1.001788215945e+07, -9.329447e+01
1.001812057802e+07, -9.433127e+01
1.001835899660e+07, -9.491325e+01
1.001859741518e+07, -9.512529e+01
1.001883583376e+07, -9.480958e+01
1.001907425234e+07, -9.438104e+01
1.001931267092e+07, -9.390253e+01
1.001955108950e+07, -9.358266e+01
1.001978950808e+07, -9.333940e+01
1.002002792666e+07, -9.299722e+01
1.002026634524e+07, -9.240933e+01
1.002050476382e+07, -9.184035e+01
1.002074318239e+07, -9.164084e+01
1.002098160097e+07, -9.223515e+01
1.002122001955e+07, -9.318899e+01
1.002145843813e+07, -9.349472e+01
1.002169685671e+07, -9.323233e+01
1.002193527529e+07, -9.360685e+01
1.002217369387e+07, -9.448226e+01
1.002241211245e+07, -9.510127e+01
1.002265053103e+07, -9.534537e+01
1.002288894961e+07, -9.545619e+01
1.002312736819e+07, -9.545636e+01
1.002336578676e+07, -9.518250e+01
1.002360420534e+07, -9.499587e+01
1.002384262392e+07, -9.435989e+01
1.002408104250e+07, -9.383636e+01
1.002431946108e+07, -9.345244e+01
1.002455787966e+07, -9.321283e+01
1.002479629824e+07, -9.327774e+01
1.002503471682e+07, -9.395331e+01
1.002527313540e+07, -9.471138e+01
1.002551155398e+07, -9.518401e+01
1.002574997256e+07, -9.554212e+01
1.002598839113e+07, -9.585713e+01
1.002622680971e+07, -9.543073e+01
1.002646522829e+07, -9.507743e+01
1.002670364687e+07, -9.505100e+01
1.002694206545e+07, -9.489323e+01
1.002718048403e+07, -9.461111e+01
1.002741890261e+07, -9.453585e+01
1.002765732119e+07, -9.438711e+01
1.002789573977e+07, -9.388534e+01
1.002813415835e+07, -9.374726e+01
1.002837257693e+07, -9.409724e+01
1.002861099551e+07, -9.453667e+01
1.002884941408e+07, -9.466290e+01
1.002908783266e+07, -9.466306e+01
1.002932625124e+07, -9.479115e+01
1.002956466982e+07, -9.513301e+01
1.002980308840e+07, -9.510641e+01
1.003004150698e+07, -9.466371e+01
1.003027992556e+07, -9.424251e+01
1.003051834414e+07, -9.388712e+01
1.003075676272e+07, -9.368074e+01
1.003099518130e+07, -9.336907e+01
