% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:57:42 +0900
% Frequency (Hz), Input 1 (dBm)
1.001120643923e+07, -9.444931e+01
1.001144485781e+07, -9.401390e+01
1.001168327639e+07, -9.378120e+01
1.001192169497e+07, -9.378138e+01
1.001216011355e+07, -9.425374e+01
1.001239853213e+07, -9.465106e+01
1.001263695071e+07, -9.470218e+01
1.001287536928e+07, -9.480515e+01
1.001311378786e+07, -9.517500e+01
1.001335220644e+07, -9.536609e+01
1.001359062502e+07, -9.498856e+01
1.001382904360e+07, -9.425500e+01
1.001406746218e+07, -9.369157e+01
1.001430588076e+07, -9.355638e+01
1.001454429934e+07, -9.420714e+01
1.001478271792e+07, -9.559061e+01
1.001502113650e+07, -9.651537e+01
1.001525955508e+07, -9.579130e+01
1.001549797365e+07, -9.480712e+01
1.001573639223e+07, -9.435402e+01
1.001597481081e+07, -9.430526e+01
1.001621322939e+07, -9.480765e+01
1.001645164797e+07, -9.567714e+01
1.001669006655e+07, -9.651661e+01
1.001692848513e+07, -9.657995e+01
1.001716690371e+07, -9.611718e+01
1.001740532229e+07, -9.545223e+01
1.001764374087e+07, -9.501802e+01
1.001788215945e+07, -9.507132e+01
1.001812057802e+07, -9.570699e+01
1.001835899660e+07, -9.661276e+01
1.001859741518e+07, -9.720539e+01
1.001883583376e+07, -9.633138e+01
1.001907425234e+07, -9.556552e+01
1.001931267092e+07, -9.483581e+01
1.001955108950e+07, -9.423499e+01
1.001978950808e+07, -9.409120e+01
1.002002792666e+07, -9.416306e+01
1.002026634524e+07, -9.428404e+01
1.002050476382e+07, -9.443143e+01
1.002074318239e+07, -9.440689e+01
1.002098160097e+07, -9.423603e+01
1.002122001955e+07, -9.362887e+01
1.002145843813e+07, -9.318916e+01
1.002169685671e+07, -9.353944e+01
1.002193527529e+07, -9.428523e+01
1.002217369387e+07, -9.458239e+01
1.002241211245e+07, -9.440809e+01
1.002265053103e+07, -9.383535e+01
1.002288894961e+07, -9.363006e+01
1.002312736819e+07, -9.406983e+01
1.002336578676e+07, -9.491685e+01
1.002360420534e+07, -9.568231e+01
1.002384262392e+07, -9.548474e+01
1.002408104250e+07, -9.483922e+01
1.002431946108e+07, -9.436022e+01
1.002455787966e+07, -9.414232e+01
1.002479629824e+07, -9.416645e+01
1.002503471682e+07, -9.445943e+01
1.002527313540e+07, -9.441010e+01
1.002551155398e+07, -9.431212e+01
1.002574997256e+07, -9.414316e+01
1.002598839113e+07, -9.404813e+01
1.002622680971e+07, -9.400109e+01
1.002646522829e+07, -9.374611e+01
1.002670364687e+07, -9.319285e+01
1.002694206545e+07, -9.289784e+01
1.002718048403e+07, -9.308660e+01
1.002741890261e+07, -9.358823e+01
1.002765732119e+07, -9.428924e+01
1.002789573977e+07, -9.507842e+01
1.002813415835e+07, -9.582951e+01
1.002837257693e+07, -9.627673e+01
1.002861099551e+07, -9.630753e+01
1.002884941408e+07, -9.609546e+01
1.002908783266e+07, -9.554442e+01
1.002932625124e+07, -9.461258e+01
1.002956466982e+07, -9.402695e+01
1.002980308840e+07, -9.398004e+01
1.003004150698e+07, -9.436417e+01
1.003027992556e+07, -9.494784e+01
1.003051834414e+07, -9.492179e+01
1.003075676272e+07, -9.463883e+01
1.003099518130e+07, -9.436481e+01
1.003123359988e+07, -9.438954e+01
1.003147201845e+07, -9.505424e+01
1.003171043703e+07, -9.609740e+01
1.003194885561e+07, -9.634053e+01
1.003218727419e+07, -9.537946e+01
1.003242569277e+07, -9.481905e+01
1.003266411135e+07, -9.464011e+01
1.003290252993e+07, -9.456463e+01
1.003314094851e+07, -9.439081e+01
1.003337936709e+07, -9.441561e+01
1.003361778567e+07, -9.461545e+01
1.003385620425e+07, -9.476845e+01
1.003409462282e+07, -9.502946e+01
1.003433304140e+07, -9.492433e+01
1.003457145998e+07, -9.454066e+01
1.003480987856e+07, -9.417323e+01
1.003504829714e+07, -9.429420e+01
1.003528671572e+07, -9.497744e+01
1.003552513430e+07, -9.560510e+01
1.003576355288e+07, -9.637390e+01
1.003600197146e+07, -9.728577e+01
1.003624039004e+07, -9.659332e+01
1.003647880862e+07, -9.540990e+01
1.003671722719e+07, -9.431964e+01
1.003695564577e+07, -9.339489e+01
1.003719406435e+07, -9.307211e+01
1.003743248293e+07, -9.296724e+01
1.003767090151e+07, -9.300925e+01
1.003790932009e+07, -9.337360e+01
1.003814773867e+07, -9.382273e+01
1.003838615725e+07, -9.412769e+01
1.003862457583e+07, -9.464398e+01
1.003886299441e+07, -9.543913e+01
1.003910141299e+07, -9.557915e+01
1.003933983156e+07, -9.461915e+01
1.003957825014e+07, -9.333101e+01
1.003981666872e+07, -9.244218e+01
1.004005508730e+07, -9.236407e+01
1.004029350588e+07, -9.272205e+01
1.004053192446e+07, -9.311660e+01
1.004077034304e+07, -9.355223e+01
1.004100876162e+07, -9.424948e+01
1.004124718020e+07, -9.467100e+01
1.004148559878e+07, -9.516762e+01
1.004172401736e+07, -9.607395e+01
1.004196243593e+07, -9.698594e+01
1.004220085451e+07, -9.666073e+01
1.004243927309e+07, -9.622494e+01
1.004267769167e+07, -9.625551e+01
1.004291611025e+07, -9.682233e+01
1.004315452883e+07, -9.722190e+01
1.004339294741e+07, -9.695373e+01
1.004363136599e+07, -9.644091e+01
1.004386978457e+07, -9.578181e+01
1.004410820315e+07, -9.547019e+01
1.004434662173e+07, -9.549822e+01
1.004458504030e+07, -9.586925e+01
1.004482345888e+07, -9.692164e+01
1.004506187746e+07, -9.804410e+01
1.004530029604e+07, -9.827184e+01
1.004553871462e+07, -9.712176e+01
1.004577713320e+07, -9.561153e+01
1.004601555178e+07, -9.442359e+01
1.004625397036e+07, -9.385083e+01
1.004649238894e+07, -9.385097e+01
1.004673080752e+07, -9.452328e+01
1.004696922610e+07, -9.561224e+01
1.004720764467e+07, -9.656850e+01
1.004744606325e+07, -9.722449e+01
1.004768448183e+07, -9.705597e+01
1.004792290041e+07, -9.641242e+01
1.004816131899e+07, -9.572687e+01
1.004839973757e+07, -9.517181e+01
1.004863815615e+07, -9.506505e+01
1.004887657473e+07, -9.488121e+01
1.004911499331e+07, -9.482950e+01
1.004935341189e+07, -9.475243e+01
1.004959183047e+07, -9.442571e+01
1.004983024905e+07, -9.423065e+01
1.005006866762e+07, -9.408722e+01
1.005030708620e+07, -9.378419e+01
1.005054550478e+07, -9.322949e+01
1.005078392336e+07, -9.272838e+01
1.005102234194e+07, -9.242932e+01
1.005126076052e+07, -9.246876e+01
1.005149917910e+07, -9.278989e+01
1.005173759768e+07, -9.333835e+01
1.005197601626e+07, -9.364873e+01
1.005221443484e+07, -9.411222e+01
1.005245285342e+07, -9.455163e+01
1.005269127199e+07, -9.478002e+01
1.005292969057e+07, -9.541989e+01
1.005316810915e+07, -9.602127e+01
1.005340652773e+07, -9.654058e+01
1.005364494631e+07, -9.666752e+01
1.005388336489e+07, -9.611107e+01
1.005412178347e+07, -9.536542e+01
1.005436020205e+07, -9.452771e+01
1.005459862063e+07, -9.378665e+01
1.005483703921e+07, -9.349384e+01
1.005507545779e+07, -9.367307e+01
1.005531387636e+07, -9.385608e+01
1.005555229494e+07, -9.399593e+01
1.005579071352e+07, -9.401957e+01
1.005602913210e+07, -9.418606e+01
1.005626755068e+07, -9.473078e+01
1.005650596926e+07, -9.509614e+01
1.005674438784e+07, -9.468010e+01
1.005698280642e+07, -9.421061e+01
1.005722122500e+07, -9.392671e+01
1.005745964358e+07, -9.397354e+01
1.005769806216e+07, -9.418698e+01
1.005793648073e+07, -9.452970e+01
1.005817489931e+07, -9.480881e+01
1.005841331789e+07, -9.465566e+01
1.005865173647e+07, -9.423562e+01
1.005889015505e+07, -9.378901e+01
1.005912857363e+07, -9.302192e+01
1.005936699221e+07, -9.283525e+01
1.005960541079e+07, -9.349646e+01
1.005984382937e+07, -9.433331e+01
1.006008224795e+07, -9.430908e+01
1.006032066653e+07, -9.453098e+01
1.006055908510e+07, -9.515180e+01
1.006079750368e+07, -9.605517e+01
1.006103592226e+07, -9.706348e+01
1.006127434084e+07, -9.747404e+01
1.006151275942e+07, -9.699718e+01
1.006175117800e+07, -9.626643e+01
1.006198959658e+07, -9.573460e+01
1.006222801516e+07, -9.486268e+01
1.006246643374e+07, -9.399967e+01
1.006270485232e+07, -9.352030e+01
1.006294327090e+07, -9.315075e+01
1.006318168947e+07, -9.222296e+01
1.006342010805e+07, -9.152490e+01
1.006365852663e+07, -9.150739e+01
1.006389694521e+07, -9.212820e+01
1.006413536379e+07, -9.304557e+01
1.006437378237e+07, -9.347685e+01
1.006461220095e+07, -9.330193e+01
1.006485061953e+07, -9.281763e+01
1.006508903811e+07, -9.239787e+01
1.006532745669e+07, -9.245674e+01
1.006556587527e+07, -9.302530e+01
1.006580429384e+07, -9.402490e+01
1.006604271242e+07, -9.496899e+01
1.006628113100e+07, -9.526267e+01
1.006651954958e+07, -9.542720e+01
1.006675796816e+07, -9.539970e+01
1.006699638674e+07, -9.512837e+01
1.006723480532e+07, -9.515526e+01
1.006747322390e+07, -9.534509e+01
1.006771164248e+07, -9.605874e+01
1.006795006106e+07, -9.690160e+01
