% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 13:01:14 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.451839e+01
9.975205233786e+06, -9.436928e+01
9.975443652365e+06, -9.359115e+01
9.975682070944e+06, -9.302374e+01
9.975920489524e+06, -9.271261e+01
9.976158908103e+06, -9.275371e+01
9.976397326682e+06, -9.317362e+01
9.976635745261e+06, -9.366020e+01
9.976874163840e+06, -9.317406e+01
9.977112582419e+06, -9.243285e+01
9.977351000998e+06, -9.229598e+01
9.977589419577e+06, -9.265320e+01
9.977827838156e+06, -9.350357e+01
9.978066256735e+06, -9.457162e+01
9.978304675315e+06, -9.593606e+01
9.978543093894e+06, -9.623686e+01
9.978781512473e+06, -9.590700e+01
9.979019931052e+06, -9.509276e+01
9.979258349631e+06, -9.449729e+01
9.979496768210e+06, -9.412992e+01
9.979735186789e+06, -9.403469e+01
9.979973605368e+06, -9.417848e+01
9.980212023947e+06, -9.490819e+01
9.980450442526e+06, -9.584983e+01
9.980688861106e+06, -9.596783e+01
9.980927279685e+06, -9.522958e+01
9.981165698264e+06, -9.457444e+01
9.981404116843e+06, -9.432576e+01
9.981642535422e+06, -9.437519e+01
9.981880954001e+06, -9.447467e+01
9.982119372580e+06, -9.477969e+01
9.982357791159e+06, -9.512263e+01
9.982596209738e+06, -9.437605e+01
9.982834628318e+06, -9.371144e+01
9.983073046897e+06, -9.357558e+01
9.983311465476e+06, -9.387336e+01
9.983549884055e+06, -9.406190e+01
9.983788302634e+06, -9.415782e+01
9.984026721213e+06, -9.399122e+01
9.984265139792e+06, -9.399143e+01
9.984503558371e+06, -9.491204e+01
9.984741976950e+06, -9.579539e+01
9.984980395529e+06, -9.553801e+01
9.985218814109e+06, -9.447765e+01
9.985457232688e+06, -9.313893e+01
9.985695651267e+06, -9.240121e+01
9.985934069846e+06, -9.232317e+01
9.986172488425e+06, -9.250045e+01
9.986410907004e+06, -9.294933e+01
9.986649325583e+06, -9.373772e+01
9.986887744162e+06, -9.491415e+01
9.987126162741e+06, -9.597357e+01
9.987364581320e+06, -9.573980e+01
9.987602999900e+06, -9.488857e+01
9.987841418479e+06, -9.418549e+01
9.988079837058e+06, -9.401843e+01
9.988318255637e+06, -9.408993e+01
9.988556674216e+06, -9.413800e+01
9.988795092795e+06, -9.416223e+01
9.989033511374e+06, -9.430801e+01
9.989271929953e+06, -9.440665e+01
9.989510348532e+06, -9.455661e+01
9.989748767111e+06, -9.425984e+01
9.989987185691e+06, -9.402009e+01
9.990225604270e+06, -9.402029e+01
9.990464022849e+06, -9.413965e+01
9.990702441428e+06, -9.409199e+01
9.990940860007e+06, -9.416408e+01
9.991179278586e+06, -9.450784e+01
9.991417697165e+06, -9.507697e+01
9.991656115744e+06, -9.513079e+01
9.991894534323e+06, -9.431048e+01
9.992132952902e+06, -9.329579e+01
9.992371371482e+06, -9.264608e+01
9.992609790061e+06, -9.283001e+01
9.992848208640e+06, -9.291314e+01
9.993086627219e+06, -9.325317e+01
9.993325045798e+06, -9.356204e+01
9.993563464377e+06, -9.376663e+01
9.993801882956e+06, -9.381291e+01
9.994040301535e+06, -9.321077e+01
9.994278720114e+06, -9.246778e+01
9.994517138693e+06, -9.229171e+01
9.994755557273e+06, -9.221470e+01
9.994993975852e+06, -9.202483e+01
9.995232394431e+06, -9.193153e+01
9.995470813010e+06, -9.213877e+01
9.995709231589e+06, -9.256847e+01
9.995947650168e+06, -9.314795e+01
9.996186068747e+06, -9.400171e+01
9.996424487326e+06, -9.484394e+01
9.996662905905e+06, -9.476647e+01
9.996901324484e+06, -9.466417e+01
9.997139743064e+06, -9.429046e+01
9.997378161643e+06, -9.453814e+01
9.997616580222e+06, -9.516274e+01
9.997854998801e+06, -9.532631e+01
9.998093417380e+06, -9.458908e+01
9.998331835959e+06, -9.395641e+01
9.998570254538e+06, -9.347711e+01
9.998808673117e+06, -9.325795e+01
9.999047091696e+06, -9.343318e+01
9.999285510276e+06, -9.365725e+01
9.999523928855e+06, -9.368016e+01
9.999762347434e+06, -9.393414e+01
1.000000076601e+07, -9.391096e+01
1.000023918459e+07, -9.381825e+01
1.000047760317e+07, -9.393473e+01
1.000071602175e+07, -9.449081e+01
1.000095444033e+07, -9.543950e+01
1.000119285891e+07, -9.616515e+01
1.000143127749e+07, -9.555196e+01
1.000166969607e+07, -9.454165e+01
1.000190811465e+07, -9.372769e+01
1.000214653322e+07, -9.319593e+01
1.000238495180e+07, -9.315323e+01
1.000262337038e+07, -9.341402e+01
1.000286178896e+07, -9.375135e+01
1.000310020754e+07, -9.417418e+01
1.000333862612e+07, -9.459335e+01
1.000357704470e+07, -9.506035e+01
1.000381546328e+07, -9.516778e+01
1.000405388186e+07, -9.503413e+01
1.000429230044e+07, -9.535906e+01
1.000453071902e+07, -9.607751e+01
1.000476913759e+07, -9.702619e+01
1.000500755617e+07, -9.726343e+01
1.000524597475e+07, -9.660278e+01
1.000548439333e+07, -9.564023e+01
1.000572281191e+07, -9.508874e+01
1.000596123049e+07, -9.508893e+01
1.000619964907e+07, -9.462090e+01
1.000643806765e+07, -9.391612e+01
1.000667648623e+07, -9.311396e+01
1.000691490481e+07, -9.259759e+01
1.000715332339e+07, -9.247824e+01
1.000739174196e+07, -9.251809e+01
1.000763016054e+07, -9.245885e+01
1.000786857912e+07, -9.259834e+01
1.000810699770e+07, -9.313639e+01
1.000834541628e+07, -9.422658e+01
1.000858383486e+07, -9.569980e+01
1.000882225344e+07, -9.644794e+01
1.000906067202e+07, -9.673397e+01
1.000929909060e+07, -9.693009e+01
1.000953750918e+07, -9.638623e+01
1.000977592776e+07, -9.572943e+01
1.001001434634e+07, -9.550252e+01
1.001025276491e+07, -9.561551e+01
1.001049118349e+07, -9.608216e+01
1.001072960207e+07, -9.553114e+01
1.001096802065e+07, -9.472649e+01
1.001120643923e+07, -9.401371e+01
1.001144485781e+07, -9.333319e+01
1.001168327639e+07, -9.307536e+01
1.001192169497e+07, -9.313933e+01
1.001216011355e+07, -9.335559e+01
1.001239853213e+07, -9.344373e+01
1.001263695071e+07, -9.329056e+01
1.001287536928e+07, -9.324742e+01
1.001311378786e+07, -9.360037e+01
1.001335220644e+07, -9.425464e+01
1.001359062502e+07, -9.520238e+01
1.001382904360e+07, -9.584833e+01
1.001406746218e+07, -9.599548e+01
1.001430588076e+07, -9.550578e+01
1.001454429934e+07, -9.491043e+01
1.001478271792e+07, -9.455185e+01
1.001502113650e+07, -9.437806e+01
1.001525955508e+07, -9.457735e+01
1.001549797365e+07, -9.525809e+01
1.001573639223e+07, -9.576275e+01
1.001597481081e+07, -9.556325e+01
1.001621322939e+07, -9.525862e+01
1.001645164797e+07, -9.507026e+01
1.001669006655e+07, -9.515074e+01
1.001692848513e+07, -9.504401e+01
1.001716690371e+07, -9.488626e+01
1.001740532229e+07, -9.504436e+01
1.001764374087e+07, -9.553632e+01
1.001788215945e+07, -9.605781e+01
1.001812057802e+07, -9.626947e+01
1.001835899660e+07, -9.611806e+01
1.001859741518e+07, -9.661294e+01
1.001883583376e+07, -9.780482e+01
