% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 13:02:50 +0900
% Frequency (Hz), Input 1 (dBm)
1.001120643923e+07, -9.511977e+01
1.001144485781e+07, -9.525504e+01
1.001168327639e+07, -9.542015e+01
1.001192169497e+07, -9.525540e+01
1.001216011355e+07, -9.567393e+01
1.001239853213e+07, -9.584725e+01
1.001263695071e+07, -9.531057e+01
1.001287536928e+07, -9.467685e+01
1.001311378786e+07, -9.445076e+01
1.001335220644e+07, -9.455078e+01
1.001359062502e+07, -9.504152e+01
1.001382904360e+07, -9.581923e+01
1.001406746218e+07, -9.632786e+01
1.001430588076e+07, -9.645212e+01
1.001454429934e+07, -9.602554e+01
1.001478271792e+07, -9.542249e+01
1.001502113650e+07, -9.475522e+01
1.001525955508e+07, -9.418358e+01
1.001549797365e+07, -9.435384e+01
1.001573639223e+07, -9.525827e+01
1.001597481081e+07, -9.523126e+01
1.001621322939e+07, -9.440358e+01
1.001645164797e+07, -9.346889e+01
1.001669006655e+07, -9.305795e+01
1.001692848513e+07, -9.331551e+01
1.001716690371e+07, -9.430614e+01
1.001740532229e+07, -9.608736e+01
1.001764374087e+07, -9.784053e+01
1.001788215945e+07, -9.806343e+01
1.001812057802e+07, -9.658083e+01
1.001835899660e+07, -9.501854e+01
1.001859741518e+07, -9.404287e+01
1.001883583376e+07, -9.380954e+01
1.001907425234e+07, -9.421049e+01
1.001931267092e+07, -9.486178e+01
1.001955108950e+07, -9.531570e+01
1.001978950808e+07, -9.465653e+01
1.002002792666e+07, -9.392637e+01
1.002026634524e+07, -9.390322e+01
1.002050476382e+07, -9.421152e+01
1.002074318239e+07, -9.445638e+01
1.002098160097e+07, -9.413978e+01
1.002122001955e+07, -9.353910e+01
1.002145843813e+07, -9.323216e+01
1.002169685671e+07, -9.318933e+01
1.002193527529e+07, -9.336279e+01
1.002217369387e+07, -9.383501e+01
1.002241211245e+07, -9.426128e+01
1.002265053103e+07, -9.421306e+01
1.002288894961e+07, -9.418913e+01
1.002312736819e+07, -9.473545e+01
1.002336578676e+07, -9.603196e+01
1.002360420534e+07, -9.704032e+01
1.002384262392e+07, -9.633497e+01
1.002408104250e+07, -9.542923e+01
1.002431946108e+07, -9.436022e+01
1.002455787966e+07, -9.358624e+01
1.002479629824e+07, -9.347490e+01
1.002503471682e+07, -9.365417e+01
1.002527313540e+07, -9.388352e+01
1.002551155398e+07, -9.438563e+01
1.002574997256e+07, -9.515724e+01
1.002598839113e+07, -9.502398e+01
1.002622680971e+07, -9.463574e+01
1.002646522829e+07, -9.466126e+01
1.002670364687e+07, -9.518483e+01
1.002694206545e+07, -9.565612e+01
1.002718048403e+07, -9.585795e+01
1.002741890261e+07, -9.585812e+01
1.002765732119e+07, -9.585828e+01
1.002789573977e+07, -9.540418e+01
1.002813415835e+07, -9.486801e+01
1.002837257693e+07, -9.419295e+01
1.002861099551e+07, -9.416909e+01
1.002884941408e+07, -9.436336e+01
1.002908783266e+07, -9.476525e+01
1.002932625124e+07, -9.557273e+01
1.002956466982e+07, -9.594747e+01
1.002980308840e+07, -9.484318e+01
1.003004150698e+07, -9.407461e+01
1.003027992556e+07, -9.400387e+01
1.003051834414e+07, -9.414642e+01
1.003075676272e+07, -9.434015e+01
1.003099518130e+07, -9.484398e+01
1.003123359988e+07, -9.516099e+01
1.003147201845e+07, -9.441434e+01
1.003171043703e+07, -9.398132e+01
1.003194885561e+07, -9.391134e+01
1.003218727419e+07, -9.384192e+01
1.003242569277e+07, -9.356920e+01
1.003266411135e+07, -9.354700e+01
1.003290252993e+07, -9.398211e+01
1.003314094851e+07, -9.518919e+01
1.003337936709e+07, -9.668708e+01
1.003361778567e+07, -9.767031e+01
1.003385620425e+07, -9.728437e+01
1.003409462282e+07, -9.640378e+01
1.003433304140e+07, -9.540850e+01
1.003457145998e+07, -9.487232e+01
1.003480987856e+07, -9.456588e+01
1.003504829714e+07, -9.398353e+01
1.003528671572e+07, -9.330652e+01
1.003552513430e+07, -9.290359e+01
1.003576355288e+07, -9.298706e+01
1.003600197146e+07, -9.302918e+01
1.003624039004e+07, -9.271946e+01
1.003647880862e+07, -9.216919e+01
1.003671722719e+07, -9.150934e+01
1.003695564577e+07, -9.136940e+01
