% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:59:04 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.310803e+01
9.975205233786e+06, -9.350115e+01
9.975443652365e+06, -9.365909e+01
9.975682070944e+06, -9.359137e+01
9.975920489524e+06, -9.343508e+01
9.976158908103e+06, -9.328157e+01
9.976397326682e+06, -9.281560e+01
9.976635745261e+06, -9.251174e+01
9.976874163840e+06, -9.269313e+01
9.977112582419e+06, -9.328245e+01
9.977351000998e+06, -9.370645e+01
9.977589419577e+06, -9.363837e+01
9.977827838156e+06, -9.330490e+01
9.978066256735e+06, -9.326159e+01
9.978304675315e+06, -9.343728e+01
9.978543093894e+06, -9.403360e+01
9.978781512473e+06, -9.472511e+01
9.979019931052e+06, -9.547643e+01
9.979258349631e+06, -9.590744e+01
9.979496768210e+06, -9.587826e+01
9.979735186789e+06, -9.579089e+01
9.979973605368e+06, -9.593758e+01
9.980212023947e+06, -9.642385e+01
9.980450442526e+06, -9.677474e+01
9.980688861106e+06, -9.661380e+01
9.980927279685e+06, -9.585027e+01
9.981165698264e+06, -9.504126e+01
9.981404116843e+06, -9.459994e+01
9.981642535422e+06, -9.427704e+01
9.981880954001e+06, -9.435076e+01
9.982119372580e+06, -9.483154e+01
9.982357791159e+06, -9.539580e+01
9.982596209738e+06, -9.582257e+01
9.982834628318e+06, -9.542402e+01
9.983073046897e+06, -9.399037e+01
9.983311465476e+06, -9.305186e+01
9.983549884055e+06, -9.282211e+01
9.983788302634e+06, -9.324508e+01
9.984026721213e+06, -9.430361e+01
9.984265139792e+06, -9.496447e+01
9.984503558371e+06, -9.432854e+01
9.984741976950e+06, -9.392134e+01
9.984980395529e+06, -9.396850e+01
9.985218814109e+06, -9.437838e+01
9.985457232688e+06, -9.394541e+01
9.985695651267e+06, -9.305398e+01
9.985934069846e+06, -9.262032e+01
9.986172488425e+06, -9.280383e+01
9.986410907004e+06, -9.351130e+01
9.986649325583e+06, -9.371483e+01
9.986887744162e+06, -9.416056e+01
9.987126162741e+06, -9.481002e+01
9.987364581320e+06, -9.615349e+01
9.987602999900e+06, -9.691222e+01
9.987841418479e+06, -9.633742e+01
9.988079837058e+06, -9.548452e+01
9.988318255637e+06, -9.507429e+01
9.988556674216e+06, -9.504781e+01
9.988795092795e+06, -9.470838e+01
9.989033511374e+06, -9.435709e+01
9.989271929953e+06, -9.392531e+01
9.989510348532e+06, -9.327179e+01
9.989748767111e+06, -9.284821e+01
9.989987185691e+06, -9.272521e+01
9.990225604270e+06, -9.289009e+01
9.990464022849e+06, -9.344810e+01
9.990702441428e+06, -9.423636e+01
9.990940860007e+06, -9.497031e+01
9.991179278586e+06, -9.526589e+01
9.991417697165e+06, -9.473630e+01
9.991656115744e+06, -9.365086e+01
9.991894534323e+06, -9.325216e+01
9.992132952902e+06, -9.325236e+01
9.992371371482e+06, -9.314493e+01
9.992609790061e+06, -9.331799e+01
9.992848208640e+06, -9.349456e+01
9.993086627219e+06, -9.342821e+01
9.993325045798e+06, -9.297625e+01
9.993563464377e+06, -9.256667e+01
9.993801882956e+06, -9.274889e+01
9.994040301535e+06, -9.334106e+01
9.994278720114e+06, -9.385964e+01
9.994517138693e+06, -9.426390e+01
9.994755557273e+06, -9.448588e+01
9.994993975852e+06, -9.471368e+01
9.995232394431e+06, -9.497395e+01
9.995470813010e+06, -9.510717e+01
9.995709231589e+06, -9.479148e+01
9.995947650168e+06, -9.395443e+01
9.996186068747e+06, -9.367740e+01
9.996424487326e+06, -9.397834e+01
9.996662905905e+06, -9.431450e+01
