% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 13:01:39 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.511586e+01
9.975205233786e+06, -9.474754e+01
9.975443652365e+06, -9.461984e+01
9.975682070944e+06, -9.479969e+01
9.975920489524e+06, -9.564333e+01
9.976158908103e+06, -9.683611e+01
9.976397326682e+06, -9.596389e+01
9.976635745261e+06, -9.474887e+01
9.976874163840e+06, -9.368319e+01
9.977112582419e+06, -9.334800e+01
9.977351000998e+06, -9.354791e+01
9.977589419577e+06, -9.408032e+01
9.977827838156e+06, -9.459668e+01
9.978066256735e+06, -9.480189e+01
9.978304675315e+06, -9.432294e+01
9.978543093894e+06, -9.334932e+01
9.978781512473e+06, -9.247396e+01
9.979019931052e+06, -9.202964e+01
9.979258349631e+06, -9.235622e+01
9.979496768210e+06, -9.315499e+01
9.979735186789e+06, -9.413014e+01
9.979973605368e+06, -9.488177e+01
9.980212023947e+06, -9.509385e+01
9.980450442526e+06, -9.488220e+01
9.980688861106e+06, -9.415503e+01
9.980927279685e+06, -9.368690e+01
9.981165698264e+06, -9.359640e+01
9.981404116843e+06, -9.398887e+01
9.981642535422e+06, -9.477926e+01
9.981880954001e+06, -9.556349e+01
9.982119372580e+06, -9.617915e+01
9.982357791159e+06, -9.588085e+01
9.982596209738e+06, -9.588107e+01
9.982834628318e+06, -9.655210e+01
9.983073046897e+06, -9.734853e+01
9.983311465476e+06, -9.652089e+01
9.983549884055e+06, -9.565028e+01
9.983788302634e+06, -9.517787e+01
9.984026721213e+06, -9.485929e+01
9.984265139792e+06, -9.465330e+01
9.984503558371e+06, -9.460272e+01
9.984741976950e+06, -9.493854e+01
9.984980395529e+06, -9.565155e+01
9.985218814109e+06, -9.618192e+01
9.985457232688e+06, -9.636629e+01
9.985695651267e+06, -9.633553e+01
9.985934069846e+06, -9.570973e+01
9.986172488425e+06, -9.531634e+01
9.986410907004e+06, -9.504594e+01
9.986649325583e+06, -9.440436e+01
9.986887744162e+06, -9.383008e+01
9.987126162741e+06, -9.335701e+01
9.987364581320e+06, -9.324824e+01
9.987602999900e+06, -9.353470e+01
9.987841418479e+06, -9.404192e+01
9.988079837058e+06, -9.478497e+01
9.988318255637e+06, -9.562596e+01
9.988556674216e+06, -9.568331e+01
9.988795092795e+06, -9.551320e+01
9.989033511374e+06, -9.548535e+01
9.989271929953e+06, -9.542970e+01
9.989510348532e+06, -9.529181e+01
9.989748767111e+06, -9.543011e+01
9.989987185691e+06, -9.577098e+01
