% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 9.975 000 MHz, stop freq 10.175 000 MHz, RBW 977.5 Hz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 16 spectra per frame, 1 frame averages
% Output 1 (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-05-09 T 12:52:44 +0900
% Frequency (Hz), Input 1 (dBm)
9.974966815207e+06, -9.393588e+01
9.975205233786e+06, -9.456897e+01
9.975443652365e+06, -9.541727e+01
9.975682070944e+06, -9.641969e+01
9.975920489524e+06, -9.730733e+01
9.976158908103e+06, -9.690191e+01
9.976397326682e+06, -9.596389e+01
9.976635745261e+06, -9.522565e+01
9.976874163840e+06, -9.462116e+01
9.977112582419e+06, -9.467233e+01
9.977351000998e+06, -9.533592e+01
9.977589419577e+06, -9.590591e+01
9.977827838156e+06, -9.611472e+01
9.978066256735e+06, -9.599513e+01
9.978304675315e+06, -9.596565e+01
9.978543093894e+06, -9.608527e+01
9.978781512473e+06, -9.608548e+01
9.979019931052e+06, -9.556089e+01
9.979258349631e+06, -9.539299e+01
9.979496768210e+06, -9.536550e+01
9.979735186789e+06, -9.544910e+01
9.979973605368e+06, -9.573320e+01
9.980212023947e+06, -9.629976e+01
9.980450442526e+06, -9.648678e+01
9.980688861106e+06, -9.602732e+01
9.980927279685e+06, -9.533918e+01
9.981165698264e+06, -9.462509e+01
9.981404116843e+06, -9.403620e+01
9.981642535422e+06, -9.361942e+01
9.981880954001e+06, -9.380250e+01
9.982119372580e+06, -9.477969e+01
9.982357791159e+06, -9.652003e+01
9.982596209738e+06, -9.826325e+01
9.982834628318e+06, -9.763081e+01
9.983073046897e+06, -9.570719e+01
9.983311465476e+06, -9.470355e+01
9.983549884055e+06, -9.430319e+01
9.983788302634e+06, -9.445146e+01
9.984026721213e+06, -9.480728e+01
9.984265139792e+06, -9.520539e+01
9.984503558371e+06, -9.550943e+01
9.984741976950e+06, -9.567996e+01
9.984980395529e+06, -9.534282e+01
9.985218814109e+06, -9.465415e+01
